fbd,abb,daa,dff,bcf,272,915,394,322,600,268,653,639,800,904
fcd,adb,adb,ccd,feb,684,148,934,775,120,920,361,104,830,537
bea,dfa,cfa,fae,bec,799,875,412,61,255,687,779,349,450,593
cdc,add,bee,efb,efd,585,901,978,338,20,220,79,367,895,165
fea,ead,fed,dee,fbe,898,498,281,601,419,55,369,239,622,579
cff,bfa,dce,cef,dbc,309,208,754,772,990,7,361,515,305,555
dbe,ffb,dda,cdc,fbf,463,102,282,787,847,46,90,818,819,504
cdd,eba,eab,dea,ecd,233,682,635,465,697,120,555,682,681,788
abc,bdf,cab,eee,aef,577,755,902,146,950,188,652,874,943,285
cde,dbe,fdd,ecd,cca,104,328,286,456,331,540,284,861,354,228
