dbc,eca,fdf,ebf,dec,826,401,331,614,686,291,705,225,619,700
bff,ecd,caa,afe,ffd,808,564,784,543,424,767,135,56,675,38
eda,cab,eea,dbf,efd,183,554,438,188,132,273,561,561,967,18
ccf,dba,aff,cac,acd,727,336,227,692,753,719,552,627,236,606
bdb,fde,cda,cbe,adc,498,980,391,658,372,760,757,112,220,106
bea,bdc,cdb,baa,fab,382,601,837,764,13,788,743,290,479,391
aed,fff,ead,dec,ccf,683,793,888,41,886,875,744,92,358,203
fbd,caa,fcd,bfc,daa,553,822,791,406,937,935,191,196,243,976
fbe,caa,aaf,adb,feb,691,72,148,235,43,4,327,805,491,338
aac,baa,ede,eea,ddd,920,984,525,798,17,514,377,308,294,139
