ffb,bbd,ffb,acd,deb,166,481,159,643,689,937,194,905,514,373
fee,fcc,dcc,abb,eff,584,375,326,55,699,488,620,201,54,583
bff,aad,cae,baf,fef,448,447,676,582,887,392,116,490,173,427
aee,ecf,aee,aad,fde,560,510,936,226,378,153,404,798,686,165
bbb,ecd,eab,fde,ece,33,819,213,736,391,271,866,624,412,757
bec,dde,dfb,bfd,aeb,106,186,667,800,491,815,474,42,149,450
faa,bcc,cbc,cbd,bce,747,570,883,510,869,869,387,607,402,465
abb,bcb,fcc,fab,deb,900,892,339,728,673,57,693,594,956,833
ada,fea,bbb,dca,ead,127,869,723,637,569,165,845,975,341,391
dba,fec,fbd,baa,aad,870,341,557,709,732,22,668,202,60,691
